"2003-06-10 14:39:05",1,"Welcome To K-Lore!","<P>This is some default content. See the <A href=""http://81.196.18.186/klore/editor/help/about_help.php"">About klore Help</A> for sources of information about using klore.</P>\r\n<P><IMG src=""http://81.196.18.186/klore/editor/img/corporate/elearning.gif""></P>"
"2003-06-10 14:54:46",1,"Together","<P><A href=""http://www.koncept.ro/"">Koncept</A>&nbsp;- though design</P>\r\n<P><A href=""http://www.connex.ro/"">Connex</A>&nbsp;- the future</P>\r\n<P><A href=""http://www.microsoft.com/"">Microsoft</A>&nbsp;- the enlightener</P>"
